,thomas_num,thomas_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,afam,latino,votepct,votepct_sq,dwnom1,meddist,majdist,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,state_leg,state_leg_prof,maj_leader,min_leader,south,south_dem,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag
,1809,"Bolling, Richard",835,97,1981,MO,5,1,1,1948,0,0,0,70,4900,-0.496,0.435,0.186,10,0,1,0,1,0,17,289,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,3,0,1,1,1,1.032805,0.021536
,1810,"Boner, William",14607,97,1981,TN,5,1,1,1978,0,0,0,65,4225,-0.208,0.147,0.102,8,0,0,0,0,0,2,4,1,0.149,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.073581,0.293898
,1811,"Bonior, David",14407,97,1981,MI,12,1,1,1976,0,0,0,55,3025,-0.576,0.515,0.266,19,0,0,0,1,0,3,9,1,0.463,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,4,1,0,0,0,0.084076,0.015075
,1812,"Bonker, Don",14208,97,1981,WA,3,1,1,1974,0,0,0,63,3969,-0.334,0.273,0.024,7,0,0,1,0,0,4,16,0,0,0,0,0,0,2,2,2,2,1,14,4,1,1,1,2,0,0,0,0,18,6,3,3,2,2.626585,0.458502
,1813,"Bowen, David",14005,97,1981,MS,2,1,1,1972,0,0,0,70,4900,-0.153,0.092,0.157,5,0,0,1,0,0,5,25,0,0,0,0,1,1,0,0,0,0,0,9,2,0,0,0,1,0,0,0,0,10,2,0,0,0,0.222111,0.716665
,1814,"Breaux, John",13056,97,1981,LA,7,1,1,1972,0,0,0,,,-0.019,0.042,0.291,8,0,0,1,0,0,5,25,0,0,0,0,1,1,6,6,6,5,3,24,13,7,6,4,2,1,1,1,0,32,20,14,12,7,8.565567,2.102309
,1815,"Brinkley, Jack",11005,97,1981,GA,3,1,1,1966,0,0,0,100,10000,-0.1,0.039,0.21,10,0,0,1,0,0,8,64,1,0.142,0,0,1,1,4,4,4,4,1,18,8,1,1,1,1,0,0,0,0,23,12,5,5,2,4.106278,1.797953
,1816,"Brodhead, William",14209,97,1981,MI,17,1,1,1974,0,0,0,73,5329,-0.479,0.418,0.169,19,0,0,0,1,0,4,16,1,0.463,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,26,3,0,0,0,0.482782,0.705059
,1817,"Brooks, Jack",1077,97,1981,TX,9,1,1,1952,0,0,0,100,10000,-0.386,0.325,0.076,24,0,1,1,0,0,15,225,1,0.191,0,0,1,1,6,5,5,5,2,14,9,4,3,1,2,0,0,0,0,22,14,9,8,3,5.841892,7.205744
,1818,"Broomfield, William",1087,97,1981,MI,19,0,0,1956,0,0,0,73,5329,0.23,0.291,0.54,19,0,0,0,0,0,13,169,1,0.463,0,0,0,0,0,0,0,0,0,10,1,1,1,1,1,0,0,0,0,11,1,1,1,1,0.676512,0.109835
,1819,"Brown, Clarence",10786,97,1981,OH,7,0,0,1965,0,0,0,76,5776,0.285,0.346,0.595,23,0,0,0,0,0,9,81,0,0,0,0,0,0,2,1,1,1,0,24,3,0,0,0,1,0,0,0,0,27,4,1,1,0,1.092494,0.303663
,1820,"Brown, George",10573,97,1981,CA,36,1,1,1972,0,0,0,53,2809,-0.52,0.459,0.21,43,0,0,1,0,0,5,25,1,0.526,0,0,0,0,1,1,1,1,0,11,3,1,0,0,7,0,1,0,1,19,4,3,1,1,1.097937,1.495245
,1821,"Brown, Hank",14803,97,1981,CO,4,0,0,1980,0,0,0,68,4624,0.497,0.558,0.807,5,0,0,0,0,0,1,1,1,0.284,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,0,0,12,1,0,0,0,0.191995,
,1822,"Broyhill, James",10574,97,1981,NC,10,0,0,1962,0,0,0,70,4900,0.268,0.329,0.578,11,0,0,0,0,0,10,100,0,0,0,0,1,0,2,1,1,1,0,14,5,0,0,0,0,0,0,0,0,16,6,1,1,0,1.076693,1.030824
,1823,"Burgener, Clair",14007,97,1981,CA,43,0,0,1972,0,0,0,87,7569,0.287,0.348,0.597,43,0,0,0,1,0,5,25,1,0.526,0,1,0,0,0,0,0,0,0,5,2,1,1,1,1,0,0,0,0,6,2,1,1,1,0.669838,0.385055
,1824,"Burton, John",14076,97,1981,CA,5,1,1,1974,0,0,0,51,2601,-0.347,0.286,0.037,43,0,0,1,0,0,4,16,1,0.526,0,0,0,0,0,0,0,0,0,11,2,0,0,0,7,0,1,1,1,18,2,1,1,1,0.360711,1.618253
,1825,"Burton, Phillip",10577,97,1981,CA,6,1,1,1964,0,0,0,69,4761,-0.615,0.554,0.305,43,0,0,1,0,0,9,81,1,0.526,0,0,0,0,3,3,3,2,0,23,5,1,0,0,43,0,1,1,1,69,8,5,3,1,2.415103,6.050657
,1826,"Butler, M.",13055,97,1981,VA,6,0,0,1972,0,0,0,99,9801,0.338,0.399,0.648,10,0,0,0,0,0,5,25,1,0.164,0,0,1,0,1,1,0,0,0,9,3,1,0,0,3,0,0,0,0,13,4,1,0,0,0.517698,0.073224
,1827,"Byron, Beverly",14608,97,1981,MD,6,1,1,1978,1,0,0,70,4900,-0.017,0.044,0.293,8,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.073581,0.248634
,1828,"Campbell, Carroll",14609,97,1981,SC,4,0,0,1978,0,0,0,93,8649,0.295,0.356,0.605,6,0,0,0,1,0,2,4,1,0.281,0,0,1,0,2,2,0,0,0,5,0,0,0,0,2,1,1,1,1,9,3,1,1,1,0.444136,0.045226
,1829,"Carman, Gregory",14804,97,1981,NY,3,0,0,1980,0,0,0,50,2500,0.307,0.368,0.617,39,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,11,1,0,0,0,0.189542,
,1830,"Carney, William",14610,97,1981,NY,1,0,0,1978,0,0,0,56,3136,0.302,0.363,0.612,39,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.036791,0.392838
,1831,"Chappell, Bill",12007,97,1981,FL,4,1,1,1968,0,0,0,66,4356,-0.078,0.017,0.232,15,0,0,0,1,0,7,49,1,0.224,0,0,1,1,1,0,0,0,0,30,2,0,0,0,5,0,1,1,1,36,2,1,1,1,0.61334,1.055907
,1832,"Chappie, Eugene",14805,97,1981,CA,1,0,0,1980,0,0,0,54,2916,0.394,0.455,0.704,43,0,0,0,0,0,1,1,1,0.526,0,0,0,0,0,0,0,0,0,6,2,1,1,1,3,0,0,0,0,9,2,1,1,1,0.687007,
,1833,"Cheney, Dick",14611,97,1981,WY,1,0,0,1978,0,0,0,69,4761,0.45,0.511,0.76,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0.158341,0.043073
,1834,"Chisholm, Shirley",12008,97,1981,NY,12,1,1,1968,1,1,0,87,7569,-0.523,0.462,0.213,39,0,0,0,1,0,7,49,1,0.407,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.061318,0.036612
,1835,"Clausen, Don",10579,97,1981,CA,2,0,0,1963,0,0,0,54,2916,0.133,0.194,0.443,43,0,0,0,0,0,10,100,0,0,0,0,0,0,0,0,0,0,0,13,2,1,1,1,1,0,0,0,0,14,2,1,1,1,0.767946,0.14214
,1836,"Clay, William",12009,97,1981,MO,1,1,1,1968,0,1,0,70,4900,-0.63,0.569,0.32,10,0,0,1,0,0,7,49,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0.28765,0.71455
,1837,"Clinger, William",14612,97,1981,PA,23,0,0,1978,0,0,0,74,5476,0.123,0.184,0.433,25,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0.091434,0.036612
,1838,"Coats, Daniel",14806,97,1981,IN,4,0,0,1980,0,0,0,61,3721,0.311,0.372,0.621,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.036791,
,1839,"Coelho, Anthony",14613,97,1981,CA,15,1,1,1978,0,0,1,72,5184,-0.368,0.307,0.058,43,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,16,1,1,1,0,4,0,1,1,1,20,1,2,2,1,0.59675,1.427913
,1840,"Coleman, E.",14410,97,1981,MO,6,0,0,1976,0,0,0,71,5041,0.229,0.29,0.539,10,0,0,0,0,0,3,9,1,0.266,0,0,0,0,0,0,0,0,0,13,2,0,0,0,1,0,0,0,0,14,2,0,0,0,0.271166,0.032305
,1841,"Collins, Cardiss",14068,97,1981,IL,7,1,1,1973,1,1,0,85,7225,-0.548,0.487,0.238,24,0,0,1,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0.282061,0.204595
,1842,"Collins, James",11066,97,1981,TX,3,0,0,1968,0,0,0,79,6241,0.768,0.829,1.078,24,0,0,0,0,0,7,49,0,0,0,0,1,0,0,0,0,0,0,58,8,0,0,0,0,0,0,0,0,58,8,0,0,0,1.148432,0.172291
,1843,"Conable, Barber",10712,97,1981,NY,35,0,0,1964,0,0,0,72,5184,0.371,0.432,0.681,39,0,0,0,1,0,9,81,1,0.407,0,0,0,0,4,3,2,2,2,40,5,1,0,0,0,0,0,0,0,44,8,3,2,2,3.279075,0.484568
,1844,"Conte, Silvio",2009,97,1981,MA,1,0,0,1958,0,0,0,75,5625,-0.075,0.014,0.235,12,0,0,0,1,0,12,144,1,0.386,0,0,0,0,0,0,0,0,0,19,3,0,0,0,2,0,0,0,0,21,3,0,0,0,0.401843,0.471646
,1845,"Conyers, John",10713,97,1981,MI,1,1,1,1964,0,1,0,95,9025,-0.75,0.689,0.44,19,0,0,1,0,0,9,81,0,0,0,0,0,0,1,1,0,0,0,16,6,0,0,0,1,1,0,0,0,18,8,0,0,0,0.671273,0.608068
,1846,"Corcoran, Tom",14411,97,1981,IL,15,0,0,1976,0,0,0,77,5929,0.289,0.35,0.599,24,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,23,2,0,0,0,0.391348,0.161523
,1847,"Corrada, Baltasar",,97,1981,PR,1,,0,1977,0,0,1,,,,,,1,0,0,0,0,0,3,9,0,,0,0,0,0,0,0,0,0,0,16,1,1,1,0,2,0,0,0,0,18,1,1,1,0,0.492488,0.491722
,1848,"Cotter, William",13009,97,1981,CT,1,1,1,1970,0,0,0,63,3969,,,,6,0,0,1,1,0,6,36,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.061318,0.541952
,1849,"Coughlin, Lawrence",12010,97,1981,PA,13,0,0,1968,0,0,0,71,5041,0.174,0.235,0.484,25,0,0,0,1,0,7,49,1,0.345,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0.103698,0.064609
,1850,"Courter, Jim",14614,97,1981,NJ,13,0,0,1978,0,0,0,72,5184,0.245,0.306,0.555,15,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0.098108,0.043073
,1851,"Coyne, James",14807,97,1981,PA,8,0,0,1980,0,0,0,51,2601,0.191,0.252,0.501,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0.165015,
,1852,"Coyne, William",14808,97,1981,PA,14,1,1,1980,0,0,0,70,4900,-0.499,0.438,0.189,25,0,0,0,0,0,1,1,1,0.345,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.024527,
,1853,"Craig, Larry",14809,97,1981,ID,1,0,0,1980,0,0,0,54,2916,0.496,0.557,0.806,2,0,0,0,0,0,1,1,1,0.179,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.110372,
,1854,"Crane, Daniel",14615,97,1981,IL,22,0,0,1978,0,0,0,69,4761,0.728,0.789,1.038,24,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0.098108,0.043073
,1855,"Crane, Philip",12041,97,1981,IL,12,0,0,1969,0,0,0,74,5476,0.747,0.808,1.057,24,0,0,0,1,0,7,49,0,0,0,0,0,0,1,0,0,0,0,53,6,1,0,0,1,0,0,0,0,55,6,1,0,0,1.107031,0.398423
,1856,"Crockett, George",14681,97,1981,MI,13,1,1,1980,0,1,0,92,8464,-0.581,0.52,0.271,19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,1857,"D'Amours, Norman",14284,97,1981,NH,1,1,1,1974,0,0,0,61,3721,-0.166,0.105,0.144,2,0,0,1,0,0,4,16,0,0,0,0,0,0,3,3,3,2,0,9,2,2,0,0,5,0,0,0,0,17,5,5,2,0,1.989148,0.118651
,1858,"Daniel, Robert",14013,97,1981,VA,4,0,0,1972,0,0,0,61,3721,0.374,0.435,0.684,10,0,0,0,0,0,5,25,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.073581,0.153477
,1859,"Daniel, W.",12011,97,1981,VA,5,1,1,1968,0,0,0,100,10000,0.188,0.249,0.498,10,0,0,1,0,0,7,49,1,0.164,0,0,1,1,0,0,0,0,0,6,2,0,0,0,3,0,0,0,0,9,2,0,0,0,0.190226,0.474493
,1860,"Danielson, George",13010,97,1981,CA,30,1,1,1970,0,0,0,72,5184,-0.51,0.449,0.2,43,0,0,1,0,0,6,36,1,0.526,0,0,0,0,6,6,6,5,2,28,12,2,2,1,7,0,3,3,3,41,18,11,10,6,6.462632,3.290805
,1861,"Dannemeyer, William",14616,97,1981,CA,39,0,0,1978,0,0,0,76,5776,0.625,0.686,0.935,43,0,0,0,0,0,2,4,1,0.526,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.122635,0.150755
,1862,"Daschle, Thomas",14617,97,1981,SD,1,1,1,1978,0,0,0,66,4356,-0.214,0.153,0.096,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,27,5,1,0,0,2,0,0,0,0,29,5,1,0,0,0.711461,1.34069
,1863,"Daub, Hal",14810,97,1981,NE,2,0,0,1980,0,0,0,53,2809,0.364,0.425,0.674,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.049054,
,1864,"Davis, Robert",14618,97,1981,MI,11,0,0,1978,0,0,0,66,4356,0.071,0.132,0.381,19,0,0,0,0,0,2,4,1,0.463,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1,0,0,0,0,14,1,0,0,0,0.216522,0.109835
,1865,"DeNardis, Lawrence",14811,97,1981,CT,3,0,0,1980,0,0,0,52,2704,-0.029,0.032,0.281,6,0,0,0,0,0,1,1,1,0.2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.024527,
,1866,"Deckard, Joel",14619,97,1981,IN,8,0,0,1978,0,0,0,55,3025,0.177,0.238,0.487,11,0,0,0,0,0,2,4,1,0.143,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.014716,0.034458
,1867,"Dellums, Ronald",13011,97,1981,CA,8,1,1,1970,0,1,0,56,3136,-0.679,0.618,0.369,43,0,1,1,0,0,6,36,0,0,0,0,0,0,0,0,0,0,0,23,7,5,3,0,9,0,0,0,0,32,7,5,3,0,1.601254,2.538059
,1868,"Derrick, Butler",14212,97,1981,SC,3,1,1,1974,0,0,0,60,3600,-0.198,0.137,0.112,6,0,0,0,1,0,4,16,1,0.281,0,0,1,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0.152752,0.075377
,1869,"Derwinski, Edward",2525,97,1981,IL,4,0,0,1958,0,0,0,68,4624,0.229,0.29,0.539,24,0,0,0,0,0,12,144,1,0.344,0,0,0,0,0,0,0,0,0,13,5,2,1,0,1,0,0,0,0,14,5,2,1,0,0.774042,0.081838
,1870,"Dickinson, William",10717,97,1981,AL,2,0,0,1964,0,0,0,61,3721,0.375,0.436,0.685,7,0,0,0,0,0,9,81,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0.051507,0.554177
,1871,"Dicks, Norman",14413,97,1981,WA,6,1,1,1976,0,0,0,54,2916,-0.307,0.246,0.003,7,0,0,0,1,0,3,9,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,3,0,0,0,0,14,1,0,0,0,0.1969,0.175014
,1872,"Dingell, John",2605,97,1981,MI,16,1,1,1955,0,0,0,70,4900,-0.444,0.383,0.134,19,0,1,1,0,0,14,196,0,0,0,0,0,0,1,1,1,0,0,12,2,0,0,0,0,0,0,0,0,13,3,1,0,0,0.59471,1.263321
,1873,"Dixon, Julian",14620,97,1981,CA,28,1,1,1978,0,1,0,79,6241,-0.518,0.457,0.208,43,0,0,1,1,0,2,4,1,0.526,0,0,0,0,2,1,2,2,2,3,0,0,0,0,0,0,0,0,0,5,1,2,2,2,2.182256,0.888684
,1874,"Donnelly, Brian",14621,97,1981,MA,11,1,1,1978,0,0,0,100,10000,-0.27,0.209,0.04,12,0,0,0,0,1,2,4,1,0.386,0,0,0,0,0,0,0,0,0,25,3,0,0,0,10,1,1,1,0,35,4,1,1,0,0.553319,1.022209
,1875,"Dorgan, Byron",14812,97,1981,ND,1,1,1,1980,0,0,0,57,3249,-0.232,0.171,0.078,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14,4,1,1,0,2,0,0,0,0,16,4,1,1,0,0.631891,
,1876,"Dornan, Robert",14414,97,1981,CA,27,0,0,1976,0,0,0,51,2601,0.423,0.484,0.733,43,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,9,0,1,0,0,30,0,1,0,0,0.300053,0.396838
,1877,"Dougherty, Charles",14622,97,1981,PA,4,0,0,1978,0,0,0,63,3969,-0.037,0.024,0.273,25,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.049054,0.032305
,1878,"Dowdy, Wayne",14874,97,1981,MS,4,1,1,1981,0,0,0,,,-0.252,0.191,0.058,5,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.024527,
,1879,"Downey, Thomas",14214,97,1981,NY,2,1,1,1974,0,0,0,56,3136,-0.384,0.323,0.074,39,0,0,0,1,1,4,16,0,0,0,0,0,0,1,0,0,0,0,35,4,0,0,0,1,0,0,0,0,37,4,0,0,0,0.674777,1.479237
,1880,"Dreier, David",14813,97,1981,CA,35,0,0,1980,0,0,0,52,2704,0.545,0.606,0.855,43,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,11,1,0,0,0,0.179731,
,1881,"Duncan, John",10719,97,1981,TN,2,0,0,1964,0,0,0,76,5776,0.171,0.232,0.481,8,0,0,0,1,0,9,81,0,0,0,0,1,0,1,1,0,0,0,51,2,0,0,0,5,0,0,0,0,57,3,0,0,0,0.880804,1.387305
,1882,"Dunn, Jim",14814,97,1981,MI,6,0,0,1980,0,0,0,51,2601,0.146,0.207,0.456,19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.049054,
,1883,"Dwyer, Bernard",14815,97,1981,NJ,15,1,1,1980,0,0,0,,,-0.42,0.359,0.11,15,0,0,0,1,0,1,1,1,0.175,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.012264,
,1884,"Dymally, Mervyn",14816,97,1981,CA,31,1,1,1980,0,0,0,64,4096,-0.615,0.554,0.305,43,0,0,1,0,0,1,1,1,0.526,0,0,0,0,0,0,0,0,0,10,3,1,1,1,1,0,0,0,0,11,3,1,1,1,0.785799,
,1885,"Dyson, Roy",14817,97,1981,MD,1,1,1,1980,0,0,0,52,2704,-0.091,0.03,0.219,8,0,0,0,0,0,1,1,1,0.252,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,0,0,0,0,9,2,0,0,0,0.209848,
,1886,"Early, Joseph",14216,97,1981,MA,3,1,1,1974,0,0,0,72,5184,-0.256,0.195,0.054,12,0,0,0,1,0,4,16,1,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.004905,0.006461
,1887,"Eckart, Dennis",14818,97,1981,OH,22,1,1,1980,0,0,0,55,3025,-0.241,0.18,0.069,23,0,0,0,0,0,1,1,1,0.355,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,6,1,0,0,0,0.118414,
,1888,"Edgar, Robert",14217,97,1981,PA,7,1,1,1974,0,0,0,53,2809,-0.375,0.314,0.065,25,0,0,1,0,0,4,16,0,0,0,0,0,0,2,2,2,2,0,13,2,0,0,0,0,0,0,0,0,15,4,2,2,0,1.483231,0.343249
,1889,"Edwards, Don",10583,97,1981,CA,10,1,1,1962,0,0,0,62,3844,-0.621,0.56,0.311,43,0,0,1,0,0,10,100,0,0,0,0,0,0,3,2,2,1,1,19,8,5,4,2,4,1,1,1,1,26,11,8,6,4,3.849644,3.384453
,1890,"Edwards, Mickey",14415,97,1981,OK,5,0,0,1976,0,0,0,68,4624,0.382,0.443,0.692,6,0,0,0,1,0,3,9,0,0,0,0,1,0,0,0,0,0,0,16,1,1,1,1,0,0,0,0,0,16,1,1,1,1,0.747641,0.075377
,1891,"Edwards, Jack",10721,97,1981,AL,1,0,0,1964,0,0,0,95,9025,0.106,0.167,0.416,7,0,0,0,1,0,9,81,0,0,0,1,1,0,0,0,0,0,0,19,1,0,0,0,2,1,1,1,1,21,2,1,1,1,0.402841,0.864301
,1892,"Emerson, Bill",14819,97,1981,MO,10,0,0,1980,0,0,0,55,3025,0.338,0.399,0.648,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,8,3,0,0,0,0.262039,
,1893,"Emery, David",14218,97,1981,ME,1,0,0,1974,0,0,0,68,4624,0.129,0.19,0.439,2,0,0,0,0,0,4,16,1,0.18,0,1,0,0,0,0,0,0,0,11,2,0,0,0,2,0,0,0,0,13,2,0,0,0,0.249091,1.429939
,1894,"English, Glenn",14219,97,1981,OK,6,1,1,1974,0,0,0,65,4225,0.007,0.068,0.317,6,0,0,1,0,0,4,16,0,0,0,0,1,1,2,0,0,0,0,12,2,2,0,0,0,0,0,0,0,14,2,2,0,0,0.50995,1.115781
,1895,"Erdahl, Arlen",14623,97,1981,MN,1,0,0,1978,0,0,0,72,5184,0.163,0.224,0.473,8,0,0,0,0,0,2,4,1,0.211,0,0,0,0,0,0,0,0,0,8,2,1,0,0,2,0,0,0,0,10,2,1,0,0,0.314524,0.120604
,1896,"Erlenborn, John",10722,97,1981,IL,14,0,0,1964,0,0,0,77,5929,0.266,0.327,0.576,24,0,0,0,0,0,9,81,1,0.344,0,0,0,0,1,1,0,0,0,16,4,1,0,0,0,0,0,0,0,17,5,1,0,0,0.650828,0.207318
,1897,"Ertel, Allen",14416,97,1981,PA,17,1,1,1976,0,0,0,61,3721,-0.165,0.104,0.145,25,0,0,0,0,0,3,9,0,0,0,0,0,0,1,1,0,0,0,7,1,1,0,0,1,0,1,1,1,9,2,2,1,1,0.478334,0.101221
,1898,"Evans, Thomas",14417,97,1981,DE,1,0,0,1976,0,0,0,62,3844,0.144,0.205,0.454,1,0,0,0,0,0,3,9,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0.619523,0.174178
,1899,"Evans, David",14220,97,1981,IN,6,1,1,1974,0,0,0,50,2500,-0.043,0.018,0.267,11,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0.115961,0.064609
,1900,"Evans, Billy",14418,97,1981,GA,8,1,1,1976,0,0,0,75,5625,-0.071,0.01,0.239,10,0,0,0,0,0,3,9,1,0.142,0,0,1,1,2,1,1,1,0,14,4,0,0,0,2,0,0,0,0,18,5,1,1,0,1.026955,0.139986
,1901,"Evans, Cooper",14820,97,1981,IA,3,0,0,1980,0,0,0,51,2601,0.243,0.304,0.553,6,0,0,0,0,0,1,1,1,0.266,0,0,0,0,1,0,0,0,0,40,3,0,0,0,3,0,1,1,1,44,3,1,1,1,0.785713,
,1902,"Fary, John",14285,97,1981,IL,5,1,1,1975,0,0,0,80,6400,-0.414,0.353,0.104,24,0,0,1,0,0,4,16,1,0.344,0,0,0,0,1,1,1,1,0,5,1,1,1,1,2,0,0,0,0,8,2,2,2,1,1.224907,0.14214
,1903,"Fascell, Dante",3078,97,1981,FL,15,1,1,1954,0,0,0,65,4225,-0.408,0.347,0.098,15,0,0,1,0,0,14,196,1,0.224,0,0,1,1,3,2,2,0,0,14,2,1,1,1,1,0,0,0,0,18,4,3,1,1,1.481258,4.434987
,1904,"Fauntroy, Walter",,97,1981,DC,1,,0,1970,0,1,0,,,,,,1,0,0,1,0,0,6,36,0,,0,0,0,0,1,1,1,1,0,17,5,3,2,0,3,0,0,0,0,21,6,4,3,0,1.671983,
,1905,"Fazio, Vic",14624,97,1981,CA,4,1,1,1978,0,0,0,65,4225,-0.469,0.408,0.159,43,0,0,1,1,0,2,4,1,0.526,0,0,0,0,2,1,2,0,0,11,3,1,1,1,4,0,1,1,1,17,4,4,2,2,1.472011,1.382559
,1906,"Fenwick, Millicent",14221,97,1981,NJ,5,0,0,1974,1,0,0,78,6084,0.054,0.115,0.364,15,0,0,0,0,0,4,16,1,0.175,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0.112824,0.146447
,1907,"Ferraro, Geraldine",14625,97,1981,NY,9,1,1,1978,1,0,0,58,3364,-0.382,0.321,0.072,39,0,0,1,0,0,2,4,0,0,1,0,0,0,1,1,1,0,0,19,6,1,1,1,0,0,0,0,0,20,7,2,1,1,1.395909,0.043073
,1908,"Fiedler, Bobbi",14821,97,1981,CA,21,0,0,1980,1,0,0,49,2401,0.322,0.383,0.632,43,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0.161879,
,1909,"Fields, Jack",14822,97,1981,TX,8,0,0,1980,0,0,0,52,2704,0.517,0.578,0.827,24,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0.134899,
,1910,"Findley, Paul",10517,97,1981,IL,20,0,0,1960,0,0,0,56,3136,0.057,0.118,0.367,24,0,0,0,0,0,11,121,0,0,0,0,0,0,4,2,2,2,0,27,1,0,0,0,0,0,0,0,0,31,3,2,2,0,1.649331,1.376371
